time,open,high,low,close,volume
1757430600,4299.98,4299.98,4299.98,4299.98,0.0023
1757430660,4290.02,4290.03,4290.0,4290.0,1.0733
1757430720,4287.83,4287.83,4287.83,4287.83,0.0008
1757430780,4287.19,4287.19,4287.19,4287.19,0.0359
1757430840,4294.17,4294.17,4293.97,4293.97,0.09
1757430900,4293.9,4293.9,4293.9,4293.9,0.0482
1757430960,4293.9,4293.9,4293.9,4293.9,0.0
1757431020,4293.9,4293.9,4293.9,4293.9,0.0
1757431080,4290.12,4290.12,4290.0,4290.0,0.9356
1757431140,4286.94,4286.94,4286.94,4286.94,0.0373
1757431200,4286.94,4286.94,4286.94,4286.94,0.0
1757431260,4286.94,4286.94,4286.94,4286.94,0.0
1757431320,4291.94,4291.94,4291.94,4291.94,0.0066
1757431380,4284.38,4284.38,4284.38,4284.38,0.2462
1757431440,4284.38,4284.38,4284.38,4284.38,0.0
1757431500,4289.91,4289.91,4289.91,4289.91,0.4627
1757431560,4289.91,4289.91,4289.91,4289.91,0.0
1757431620,4289.91,4289.91,4289.91,4289.91,0.0
1757431680,4289.91,4289.91,4289.91,4289.91,0.0
1757431740,4289.91,4289.91,4289.91,4289.91,0.0
1757431800,4289.91,4289.91,4289.91,4289.91,0.0
1757431860,4289.91,4289.91,4289.91,4289.91,0.0
1757431920,4289.91,4289.91,4289.91,4289.91,0.0
1757431980,4289.91,4289.91,4289.91,4289.91,0.0
1757432040,4289.91,4289.91,4289.91,4289.91,0.0
1757432100,4289.91,4289.91,4289.91,4289.91,0.0
1757432160,4289.91,4289.91,4289.91,4289.91,0.0
1757432220,4285.57,4285.57,4284.06,4284.06,0.2654
1757432280,4283.96,4283.96,4283.22,4283.22,0.0181
1757432340,4282.02,4282.02,4281.64,4281.64,0.8029
1757432400,4288.93,4288.93,4280.17,4280.17,0.0722
1757432460,4286.99,4286.99,4286.83,4286.83,0.1141
1757432520,4280.45,4285.94,4280.45,4284.93,0.3233
1757432580,4283.33,4283.33,4282.83,4282.83,0.0262
1757432640,4282.83,4282.83,4282.83,4282.83,0.0
1757432700,4282.44,4282.46,4282.44,4282.46,0.3679
1757432760,4282.46,4282.46,4282.46,4282.46,0.0
1757432820,4282.46,4282.46,4282.46,4282.46,0.0
1757432880,4280.52,4280.52,4280.52,4280.52,0.0992
1757432940,4280.52,4280.52,4280.52,4280.52,0.0
1757433000,4292.39,4292.39,4292.39,4292.39,0.0006
1757433060,4292.39,4292.39,4292.39,4292.39,0.0
1757433120,4292.39,4292.39,4292.39,4292.39,0.0
1757433180,4287.94,4287.94,4287.94,4287.94,0.4081
1757433240,4284.01,4284.01,4284.01,4284.01,0.0248
1757433300,4284.01,4284.01,4284.01,4284.01,0.0
1757433360,4284.01,4284.01,4284.01,4284.01,0.0
1757433420,4288.2,4288.2,4288.2,4288.2,0.0047
1757433480,4288.2,4288.2,4288.2,4288.2,0.0
1757433540,4288.0,4288.0,4288.0,4288.0,0.1767
1757433600,4288.0,4288.0,4288.0,4288.0,0.0
1757433660,4291.15,4291.29,4291.15,4291.29,0.0325
1757433720,4291.29,4291.29,4291.29,4291.29,0.0
1757433780,4296.27,4296.28,4286.91,4286.91,15.1826
1757433840,4286.91,4286.91,4286.91,4286.91,0.0
1757433900,4294.16,4294.16,4294.16,4294.16,0.0232
1757433960,4294.16,4294.16,4294.16,4294.16,0.0
1757434020,4293.21,4293.21,4293.21,4293.21,0.0007
1757434080,4290.57,4290.57,4290.57,4290.57,0.0198
1757434140,4290.57,4290.57,4290.57,4290.57,0.0
1757434200,4290.57,4290.57,4290.57,4290.57,0.0
1757434260,4290.57,4290.57,4290.57,4290.57,0.0
1757434320,4282.84,4282.84,4282.84,4282.84,0.0193
1757434380,4283.78,4283.78,4283.78,4283.78,0.0024
1757434440,4283.78,4283.78,4283.78,4283.78,0.0
1757434500,4283.78,4283.78,4283.78,4283.78,0.0
1757434560,4288.1,4288.1,4288.09,4288.09,0.0713
1757434620,4288.09,4288.09,4288.09,4288.09,0.0
1757434680,4288.09,4288.09,4288.09,4288.09,0.0
1757434740,4288.09,4288.09,4288.09,4288.09,0.0
1757434800,4288.09,4288.09,4288.09,4288.09,0.0
1757434860,4288.09,4288.09,4288.09,4288.09,0.0
1757434920,4283.86,4283.86,4283.86,4283.86,0.0057
1757434980,4283.86,4283.86,4283.86,4283.86,0.0
1757435040,4283.86,4283.86,4283.86,4283.86,0.0
1757435100,4283.86,4283.86,4283.86,4283.86,0.0
1757435160,4298.64,4298.64,4298.64,4298.64,0.0464
1757435220,4297.83,4297.83,4297.83,4297.83,0.0313
1757435280,4297.83,4297.83,4297.83,4297.83,0.0
1757435340,4289.8,4293.94,4289.8,4293.94,0.0422
1757435400,4293.94,4293.94,4293.94,4293.94,0.0
1757435460,4293.94,4293.94,4293.94,4293.94,0.0
1757435520,4292.27,4302.06,4292.27,4302.06,0.0465
1757435580,4285.89,4285.89,4285.89,4285.89,0.08
1757435640,4285.89,4285.89,4285.89,4285.89,0.0
1757435700,4285.89,4285.89,4285.89,4285.89,0.0
1757435760,4285.89,4285.89,4285.89,4285.89,0.0
1757435820,4283.87,4283.87,4282.23,4282.23,0.2449
1757435880,4282.23,4282.23,4282.23,4282.23,0.0
1757435940,4293.28,4293.28,4293.28,4293.28,0.0073
1757436000,4293.28,4293.28,4293.28,4293.28,0.0
1757436060,4293.28,4293.28,4293.28,4293.28,0.0
1757436120,4293.28,4293.28,4293.28,4293.28,0.0
1757436180,4293.28,4293.28,4293.28,4293.28,0.0
1757436240,4293.28,4293.28,4293.28,4293.28,0.0
1757436300,4286.91,4286.91,4281.4,4281.4,0.0076
1757436360,4281.4,4281.4,4281.4,4281.4,0.0
1757436420,4281.4,4281.4,4281.4,4281.4,0.0
1757436480,4286.07,4286.07,4286.07,4286.07,0.0007
1757436540,4286.07,4286.07,4286.07,4286.07,0.0
1757436600,4285.89,4285.89,4285.89,4285.89,0.0003
1757436660,4285.89,4285.89,4285.89,4285.89,0.0
1757436720,4285.89,4285.89,4285.89,4285.89,0.0
1757436780,4285.89,4285.89,4285.89,4285.89,0.0
1757436840,4285.89,4285.89,4285.89,4285.89,0.0
1757436900,4286.57,4286.57,4286.57,4286.57,0.0058
1757436960,4286.99,4286.99,4286.99,4286.99,0.0046
1757437020,4286.99,4286.99,4286.99,4286.99,0.0
1757437080,4292.58,4292.58,4292.58,4292.58,0.0116
1757437140,4292.52,4292.52,4292.52,4292.52,0.0086
1757437200,4292.52,4292.52,4292.52,4292.52,0.0
1757437260,4292.52,4292.52,4292.52,4292.52,0.0
1757437320,4288.54,4288.54,4288.54,4288.54,0.008
1757437380,4288.54,4288.54,4288.54,4288.54,0.0
1757437440,4295.25,4295.26,4289.88,4289.88,0.0468
1757437500,4290.77,4290.85,4290.77,4290.85,0.0007
1757437560,4290.85,4290.85,4290.85,4290.85,0.0
1757437620,4290.85,4290.85,4290.85,4290.85,0.0
1757437680,4296.16,4296.16,4296.16,4296.16,0.0046
1757437740,4303.65,4303.65,4303.65,4303.65,0.0046
1757437800,4302.84,4302.84,4302.84,4302.84,0.0019
1757437860,4302.84,4302.84,4302.84,4302.84,0.0
